id,species,links,reference
FW_002,14,38,Web of Life database
FW_003,28,127,Web of Life database
FW_004,32,140,Web of Life database
FW_005,44,413,Web of Life database
FW_006,30,229,Web of Life database
FW_007,48,221,Web of Life database
FW_009,40,241,Web of Life database
FW_010,39,248,Web of Life database
FW_011,105,343,Web of Life database
FW_012_01,58,126,Web of Life database
FW_012_02,71,148,Web of Life database
FW_013_01,66,187,Web of Life database
FW_013_02,77,240,Web of Life database
FW_013_03,78,241,Web of Life database
FW_013_04,78,268,Web of Life database
FW_013_05,98,629,Web of Life database
FW_014_01,86,375,Web of Life database
FW_014_02,94,565,Web of Life database
FW_014_03,108,708,Web of Life database
FW_014_04,112,832,Web of Life database
FW_015_01,96,634,Web of Life database
FW_015_02,83,415,Web of Life database
FW_015_03,93,538,Web of Life database
FW_015_04,107,966,Web of Life database
FW_016_01,37,242,Web of Life database
FW_017_01,217,809,Web of Life database
FW_017_02,164,510,Web of Life database
FW_017_03,165,875,Web of Life database
FW_017_04,120,491,Web of Life database
FW_017_05,182,569,Web of Life database
FW_017_06,142,747,Web of Life database
FW_001,40,185,Web of Life database
FW_008,249,3313,Web of Life database
