"Property","dimension","quanti.correlation","quanti.p.value"
"richness","Dim.1",0.38,NA
"richness","Dim.2",0.84,NA
"richness","Dim.3",-0.27,NA
"richness","Dim.4",0.04,NA
"richness","Dim.5",-0.05,NA
"links","Dim.1",0.68,NA
"links","Dim.2",0.68,NA
"links","Dim.3",0.01,NA
"links","Dim.4",0.03,NA
"links","Dim.5",0.12,NA
"connectance","Dim.1",0.4,NA
"connectance","Dim.2",-0.56,NA
"connectance","Dim.3",0.6,NA
"connectance","Dim.4",-0.04,NA
"connectance","Dim.5",0.1,NA
"diameter","Dim.1",0.8,NA
"diameter","Dim.2",0.27,NA
"diameter","Dim.3",-0.24,NA
"diameter","Dim.4",0.02,NA
"diameter","Dim.5",0.11,NA
"distance","Dim.1",-0.01,NA
"distance","Dim.2",0.33,NA
"distance","Dim.3",0.08,NA
"distance","Dim.4",0.59,NA
"distance","Dim.5",0.4,NA
"basal","Dim.1",-0.52,NA
"basal","Dim.2",0.44,NA
"basal","Dim.3",0.65,NA
"basal","Dim.4",0.22,NA
"basal","Dim.5",-0.19,NA
"top","Dim.1",-0.54,NA
"top","Dim.2",0.21,NA
"top","Dim.3",-0.38,NA
"top","Dim.4",-0.55,NA
"top","Dim.5",0.09,NA
"intermediate","Dim.1",0.72,NA
"intermediate","Dim.2",-0.48,NA
"intermediate","Dim.3",-0.35,NA
"intermediate","Dim.4",0.1,NA
"intermediate","Dim.5",0.11,NA
"predpreyRatio","Dim.1",-0.31,NA
"predpreyRatio","Dim.2",0.39,NA
"predpreyRatio","Dim.3",0.71,NA
"predpreyRatio","Dim.4",0.31,NA
"predpreyRatio","Dim.5",-0.27,NA
"herbivory","Dim.1",-0.51,NA
"herbivory","Dim.2",0.27,NA
"herbivory","Dim.3",0.02,NA
"herbivory","Dim.4",-0.17,NA
"herbivory","Dim.5",0.55,NA
"omnivory","Dim.1",0.77,NA
"omnivory","Dim.2",-0.31,NA
"omnivory","Dim.3",-0.14,NA
"omnivory","Dim.4",0.05,NA
"omnivory","Dim.5",-0.15,NA
"cannibal","Dim.1",0.69,NA
"cannibal","Dim.2",0.07,NA
"cannibal","Dim.3",0.4,NA
"cannibal","Dim.4",-0.39,NA
"cannibal","Dim.5",0,NA
"l_S","Dim.1",0.84,NA
"l_S","Dim.2",0.45,NA
"l_S","Dim.3",0.26,NA
"l_S","Dim.4",-0.09,NA
"l_S","Dim.5",0.03,NA
"GenSD","Dim.1",-0.39,NA
"GenSD","Dim.2",0.67,NA
"GenSD","Dim.3",0.33,NA
"GenSD","Dim.4",0.21,NA
"GenSD","Dim.5",-0.32,NA
"VulSD","Dim.1",-0.34,NA
"VulSD","Dim.2",0.56,NA
"VulSD","Dim.3",-0.42,NA
"VulSD","Dim.4",-0.46,NA
"VulSD","Dim.5",0.17,NA
"TL","Dim.1",0.57,NA
"TL","Dim.2",-0.4,NA
"TL","Dim.3",-0.66,NA
"TL","Dim.4",-0.05,NA
"TL","Dim.5",-0.08,NA
"ChLen","Dim.1",0.54,NA
"ChLen","Dim.2",-0.54,NA
"ChLen","Dim.3",-0.49,NA
"ChLen","Dim.4",0.12,NA
"ChLen","Dim.5",-0.16,NA
"ChSD","Dim.1",0.37,NA
"ChSD","Dim.2",0.11,NA
"ChSD","Dim.3",-0.45,NA
"ChSD","Dim.4",0.4,NA
"ChSD","Dim.5",-0.1,NA
"ChNum","Dim.1",-0.11,NA
"ChNum","Dim.2",0.76,NA
"ChNum","Dim.3",-0.47,NA
"ChNum","Dim.4",-0.24,NA
"ChNum","Dim.5",-0.15,NA
"path","Dim.1",0.31,NA
"path","Dim.2",0.34,NA
"path","Dim.3",-0.36,NA
"path","Dim.4",0.54,NA
"path","Dim.5",0.35,NA
"LinkSD","Dim.1",-0.19,NA
"LinkSD","Dim.2",0.72,NA
"LinkSD","Dim.3",-0.39,NA
"LinkSD","Dim.4",-0.05,NA
"LinkSD","Dim.5",-0.29,NA
"S1","Dim.1",0.9,NA
"S1","Dim.2",-0.03,NA
"S1","Dim.3",0.14,NA
"S1","Dim.4",-0.07,NA
"S1","Dim.5",0.08,NA
"S2","Dim.1",0.79,NA
"S2","Dim.2",-0.06,NA
"S2","Dim.3",0.47,NA
"S2","Dim.4",-0.26,NA
"S2","Dim.5",-0.06,NA
"S4","Dim.1",0.62,NA
"S4","Dim.2",0.48,NA
"S4","Dim.3",0.28,NA
"S4","Dim.4",-0.26,NA
"S4","Dim.5",0.18,NA
"S5","Dim.1",0.66,NA
"S5","Dim.2",0.42,NA
"S5","Dim.3",0.52,NA
"S5","Dim.4",-0.08,NA
"S5","Dim.5",0,NA
"centrality","Dim.1",-0.3,NA
"centrality","Dim.2",-0.61,NA
"centrality","Dim.3",0.26,NA
"centrality","Dim.4",0.07,NA
"centrality","Dim.5",0.46,NA
"loops","Dim.1",0.81,NA
"loops","Dim.2",0.28,NA
"loops","Dim.3",0.17,NA
"loops","Dim.4",-0.09,NA
"loops","Dim.5",0.12,NA
"intervals","Dim.1",0.51,NA
"intervals","Dim.2",0.65,NA
"intervals","Dim.3",-0.11,NA
"intervals","Dim.4",0.24,NA
"intervals","Dim.5",0.18,NA
"MaxSim","Dim.1",-0.12,NA
"MaxSim","Dim.2",-0.07,NA
"MaxSim","Dim.3",0.57,NA
"MaxSim","Dim.4",-0.14,NA
"MaxSim","Dim.5",0.21,NA
"Clust","Dim.1",0.64,NA
"Clust","Dim.2",-0.35,NA
"Clust","Dim.3",0.16,NA
"Clust","Dim.4",0.01,NA
"Clust","Dim.5",-0.4,NA
"S1","Dim.1",0.9,1.52685447723932e-14
"l_S","Dim.1",0.84,5.02976421765314e-11
"loops","Dim.1",0.81,6.42831932112134e-10
"diameter","Dim.1",0.8,1.18567114147801e-09
"S2","Dim.1",0.79,3.33187054596868e-09
"omnivory","Dim.1",0.77,1.91333026313335e-08
"intermediate","Dim.1",0.72,4.0007799200723e-07
"cannibal","Dim.1",0.69,1.54443022762322e-06
"links","Dim.1",0.68,2.97735865223692e-06
"S5","Dim.1",0.66,7.7439376362997e-06
"Clust","Dim.1",0.64,1.70069334482139e-05
"S4","Dim.1",0.62,2.81530226589834e-05
"TL","Dim.1",0.57,0.000187873159789211
"ChLen","Dim.1",0.54,0.000527228891228683
"intervals","Dim.1",0.51,0.000965770892961415
"connectance","Dim.1",0.4,0.0123944464999797
"richness","Dim.1",0.38,0.0182159600867013
"ChSD","Dim.1",0.37,0.0205345865166098
"VulSD","Dim.1",-0.34,0.0348758089123723
"GenSD","Dim.1",-0.39,0.0150597253702692
"herbivory","Dim.1",-0.51,0.00105415539324674
"basal","Dim.1",-0.52,0.000912959534335822
"top","Dim.1",-0.54,0.000417454887013421
"richness","Dim.2",0.84,7.03763676852767e-11
"ChNum","Dim.2",0.76,3.73629698358207e-08
"LinkSD","Dim.2",0.72,3.19706823004966e-07
"links","Dim.2",0.68,3.02854915213095e-06
"GenSD","Dim.2",0.67,5.06676957689954e-06
"intervals","Dim.2",0.65,1.10798978569825e-05
"VulSD","Dim.2",0.56,0.00024838572239204
"S4","Dim.2",0.48,0.00208153542915508
"l_S","Dim.2",0.45,0.004984092121446
"basal","Dim.2",0.44,0.00620512931904986
"S5","Dim.2",0.42,0.00911322593709499
"predpreyRatio","Dim.2",0.39,0.014297085703178
"path","Dim.2",0.34,0.0381102199131218
"distance","Dim.2",0.33,0.042626152563839
"Clust","Dim.2",-0.35,0.0303882646463925
"TL","Dim.2",-0.4,0.0139488317414544
"intermediate","Dim.2",-0.48,0.00239956685276435
"ChLen","Dim.2",-0.54,0.000507371463461034
"connectance","Dim.2",-0.56,0.000262371509228
"centrality","Dim.2",-0.61,5.04198410649677e-05
"predpreyRatio","Dim.3",0.71,6.00812887592541e-07
"basal","Dim.3",0.65,1.21569186059765e-05
"connectance","Dim.3",0.6,8.04479114349908e-05
"MaxSim","Dim.3",0.57,0.000207814556767034
"S5","Dim.3",0.52,0.000832954752959868
"S2","Dim.3",0.47,0.00299507117289559
"cannibal","Dim.3",0.4,0.01227743507655
"GenSD","Dim.3",0.33,0.0416849047488646
"intermediate","Dim.3",-0.35,0.0293667527201693
"path","Dim.3",-0.36,0.0276974630342402
"top","Dim.3",-0.38,0.0201239970288867
"LinkSD","Dim.3",-0.39,0.0148989077373726
"VulSD","Dim.3",-0.42,0.00945966104484742
"ChSD","Dim.3",-0.45,0.00475826356894619
"ChNum","Dim.3",-0.47,0.00269586791815043
"ChLen","Dim.3",-0.49,0.00189368692381497
"TL","Dim.3",-0.66,6.38206731853818e-06
